PLAYER,BIRTH_DATE
Bojan Bogdanović,1989-04-18
Tony Bradley,1998-01-08
Jarrell Brantley,1996-06-07
Jordan Clarkson,1992-06-07
Mike Conley,1987-10-11
Ed Davis,1989-06-05
Dante Exum,1995-07-13
Rudy Gobert,1992-06-26
Jeff Green,1986-08-28
Joe Ingles,1987-10-02
Stanton Kidd,1992-03-18
Donovan Mitchell,1996-09-07
Juwan Morgan,1997-04-17
Emmanuel Mudiay,1996-03-05
Georges Niang,1993-06-17
Royce O'Neale,1993-06-05
Miye Oni,1997-08-04
Rayjon Tucker,1997-09-24
Nigel Williams-Goss,1994-09-16
Justin Wright-Foreman,1997-10-27
