PLAYER,BIRTH_DATE
Jaylen Adams,1996-05-04
Justin Anderson,1993-11-19
Kent Bazemore,1989-07-01
DeAndre' Bembry,1994-07-04
Vince Carter,1977-01-26
John Collins,1997-09-23
Deyonta Davis,1996-12-02
Dewayne Dedmon,1989-08-12
Tyler Dorsey,1996-02-18
Daniel Hamilton,1995-08-08
Kevin Huerter,1998-08-27
Isaac Humphries,1998-01-05
B.J. Johnson,1995-12-21
Alex Len,1993-06-16
Jeremy Lin,1988-08-23
Miles Plumlee,1988-09-01
Alex Poythress,1993-09-06
Taurean Prince,1994-03-22
Jordan Sibert,1992-08-01
Omari Spellman,1997-07-21
Trae Young,1998-09-19
Tyler Zeller,1990-01-17
